排名,学校中文名,学校英文名,省份,类型,总分,标签
301,黑龙江八一农垦大学,Heilongjiang Bayi Agricultural University,黑龙江,农业,152.5,
302,新疆师范大学,Xinjiang Normal University,新疆,师范,152.4,
303,西南林业大学,Southwest Forestry University,云南,林业,152.3,
304,辽宁科技大学,University of Science and Technology Liaoning,辽宁,理工,152,
305,新疆农业大学,Xinjiang Agricultural University,新疆,农业,151.7,
306,北京联合大学,Beijing Union University,北京,综合,151.6,
307,重庆文理学院,Chongqing University of Arts and Sciences,重庆,综合,151.4,
308,北华大学,Beihua University,吉林,综合,150.7,
309,闽南师范大学,Minnan Normal University,福建,师范,150.1,
310,湖南理工学院,Hunan Institute of Science and Technology,湖南,理工,149.8,
311,五邑大学,Wuyi University,广东,综合,149.2,
312,湖北师范大学,Hubei Normal University,湖北,师范,149.1,
312,浙江万里学院,Zhejiang Wanli University,浙江,理工,149.1,
314,广东技术师范大学,Guangdong Polytechnic Normal University,广东,师范,149,
314,内蒙古科技大学,Inner Mongolia University of Science & Technology,内蒙古,综合,149,
316,合肥大学,Hefei University,安徽,理工,147.9,
317,淮阴工学院,Huaiyin Institute of Technology,江苏,理工,147.5,
318,天津城建大学,Tianjin Chengjian University,天津,理工,147.2,
319,无锡学院,Wuxi University,江苏,综合,147.1,
320,中原工学院,Zhongyuan University of Technology,河南,理工,146.9,
321,景德镇陶瓷大学,Jingdezhen Ceramic University,江西,理工,146.7,
322,吉林师范大学,Jilin Normal University,吉林,师范,146.4,
323,吉首大学,Jishou University,湖南,综合,146.3,
324,江西科技师范大学,Jiangxi Science and Technology Normal University,江西,师范,145.7,
325,江苏海洋大学,Jiangsu Ocean University,江苏,理工,145.6,
326,四川轻化工大学,Sichuan University of Science and Engineering,四川,理工,145.3,
327,上海第二工业大学,Shanghai Polytechnic University,上海,理工,145.2,
328,长沙学院,Changsha University,湖南,理工,145,
329,广西科技大学,Guangxi University of Science and Technology,广西,理工,144.7,
330,淮北师范大学,Huaibei Normal University,安徽,师范,144.6,
331,淮阴师范学院,Huaiyin Normal University,江苏,师范,144.3,
332,上海电机学院,Shanghai Dianji University,上海,理工,144,
333,南京晓庄学院,Nanjing XiaoZhuang University,江苏,师范,143.6,
334,盐城工学院,Yancheng Institute of Technology,江苏,理工,143.5,
335,贵州师范学院,Guizhou Education University,贵州,师范,143,
336,常州工学院,Changzhou Institute of Technology,江苏,理工,142,
337,长春师范大学,Changchun Normal University,吉林,师范,141.5,
337,信阳师范大学,Xinyang Normal University,河南,师范,141.5,
339,榆林学院,Yulin University,陕西,师范,141.4,
340,安庆师范大学,Anqing Normal University,安徽,师范,141.2,
341,湖北汽车工业学院,Hubei University of Automotive Technology,湖北,理工,141,
342,陕西理工大学,Shaanxi University of Technology,陕西,理工,140.7,
343,塔里木大学,Tarim University,新疆,综合,140.5,
343,天津职业技术师范大学,TianJin University of Technology and Education,天津,师范,140.5,
345,长江师范学院,Yangtze Normal University,重庆,师范,140.3,
346,湖南第一师范学院,Hunan First Normal University,湖南,师范,140,
347,江苏理工学院,Jiangsu University of Technology,江苏,理工,139.9,
348,江西水利电力大学,Jiangxi University of Water Resources and Electric Power,江西,理工,139.7,
349,长春工程学院,Changchun Institute of Technology,吉林,理工,139.6,
350,盐城师范学院,Yancheng Teachers University,江苏,师范,139.4,
351,井冈山大学,Jinggangshan University,江西,综合,138.9,
351,金陵科技学院,Jinling Institute of Technology,江苏,理工,138.9,
353,天津农学院,Tianjin Agricultural University,天津,农业,138.8,
353,仲恺农业工程学院,Zhongkai University of Agriculture and Engineering,广东,农业,138.8,
355,铜仁学院,Tongren University,贵州,综合,138.4,
356,山东交通学院,Shandong Jiaotong University,山东,理工,137.8,
357,黄冈师范学院,Huanggang Normal University,湖北,师范,137.7,
357,泉州师范学院,Quanzhou Normal University,福建,师范,137.7,
359,河南科技学院,Henan Institute of Science and Technology,河南,师范,137.2,
360,温州理工学院,Wenzhou University of Technology,浙江,理工,136.9,
361,安徽科技学院,Anhui Science and Technology University,安徽,师范,136.5,
361,洛阳师范学院,Luoyang Normal University,河南,师范,136.5,
363,徐州工程学院,Xuzhou University of Technology,江苏,理工,136.3,
364,湖北第二师范学院,Hubei University of Education,湖北,师范,136,
365,丽水学院,Lishui University,浙江,师范,135.1,
365,中国民用航空飞行学院,Civil Aviation Flight University of China,四川,理工,135.1,
367,惠州学院,Huizhou University,广东,综合,134.5,
368,长春大学,Changchun University,吉林,综合,134.3,
369,贵阳学院,Guiyang University,贵州,综合,134,
370,湖州学院,Huzhou College,浙江,师范,133.8,
371,沈阳工程学院,Shenyang Institute of Engineering,辽宁,理工,133,
372,湖北科技学院,Hubei University of Science and Technology,湖北,综合,132.8,
372,湖北文理学院,Hubei University of Arts and Science,湖北,综合,132.8,
372,黔南民族师范学院,Qiannan Normal University for Nationalities,贵州,师范,132.8,
375,防灾科技学院,Institute of Disaster Prevention,河北,理工,132.7,
376,广东石油化工学院,Guangdong University of Petrochemical Technology,广东,综合,132.6,
377,洛阳理工学院,Luoyang Institute of Science and Technology,河南,综合,132.3,
378,遵义师范学院,Zunyi Normal University,贵州,师范,132.1,
379,衢州学院,Quzhou University,浙江,理工,132,
380,重庆三峡学院,Chongqing Three Gorges University,重庆,综合,131.9,
381,齐齐哈尔大学,Qiqihar University,黑龙江,综合,131.6,
381,三明学院,Sanming University,福建,综合,131.6,
383,太原师范学院,Taiyuan Normal University,山西,师范,131.4,
384,阜阳师范大学,Fuyang Normal University,安徽,师范,131.1,
385,北华航天工业学院,North China Institute of Aerospace Engineering,河北,理工,131,
386,绵阳师范学院,Mianyang Teachers' College,四川,师范,130.6,
387,佳木斯大学,Jiamusi University,黑龙江,综合,130.4,
388,成都师范学院,Chengdu Normal University,四川,师范,130.2,
389,昆明学院,Kunming University,云南,综合,129.8,
389,周口师范学院,Zhoukou Normal University,河南,师范,129.8,
391,岭南师范学院,Lingnan Normal University,广东,师范,129.7,
391,莆田学院,Putian University,福建,综合,129.7,
393,德州学院,Dezhou University,山东,综合,129.5,
394,黑龙江科技大学,Heilongjiang University of Science and Technology,黑龙江,理工,129.4,
394,攀枝花学院,Panzhihua University,四川,综合,129.4,
394,山东航空学院,Shandong University of Aeronautics,山东,理工,129.4,
394,浙江水利水电学院,Zhejiang University of Water Resources and Electric Power,浙江,理工,129.4,
398,龙岩学院,Longyan University,福建,综合,129.2,
398,西藏农牧大学,Xizang Agricultural and Animal Husbandry University,西藏,农业,129.2,
400,曲靖师范学院,Qujing Normal University,云南,师范,128.5,
401,华北科技学院,North China Institute of Science & Technology,河北,理工,128.4,
402,泰山学院,Taishan University,山东,综合,128.2,
403,潍坊学院,Weifang University,山东,综合,128.1,
404,河北科技师范学院,Hebei Normal University of Science and Technology,河北,师范,127.7,
405,湘南学院,Xiangnan University,湖南,理工,127.6,
406,衡阳师范学院,Hengyang Normal University,湖南,师范,127.3,
406,湖南工程学院,Hunan Institute of Engineering,湖南,理工,127.3,
408,内江师范学院,Neijiang Normal University,四川,师范,127.1,
409,许昌学院,Xuchang University,河南,理工,126.9,
409,宜宾学院,Yibin University,四川,综合,126.9,
411,贵州理工学院,Guizhou Institute of Technology,贵州,理工,126.8,
412,吉林化工大学,Jilin University of Chemical Technology,吉林,理工,126.7,
413,宁夏师范大学,Ningxia Normal University,宁夏,师范,126.4,
414,合肥师范学院,Hefei Normal University,安徽,师范,126.1,
414,湖北理工学院,Hubei Polytechnic University,湖北,理工,126.1,
414,江苏第二师范学院,Jiangsu Second Normal University,江苏,师范,126.1,
417,皖西学院,West Anhui University,安徽,师范,125.8,
418,安阳师范学院,Anyang Normal University,河南,师范,125.4,
419,湖北工程学院,Hubei Engineering University,湖北,综合,125.3,
419,南阳师范学院,Nanyang Normal University,河南,师范,125.3,
419,苏州城市学院,Suzhou City University,江苏,综合,125.3,
422,北部湾大学,Beibu Gulf University,广西,综合,125.1,
